Roll No,Name,Dept,Email,Phone,Branch,Program
21A91A1205_2777,David Brown_8095,IT_9066,david.b@example.com_8549,9988776753,Information Tech_5107,B.Tech_6710
21A91A0501_3113,John Doe_8163,CSE_6920,john.doe@example.com_4708,9876543309,Computer Science_9929,B.Tech_5031
22A95A0101_2529,Sarah Wilson_7384,CE_5682,sarah.w@example.com_2925,6543210995,Civil_4188,B.Tech_1918
22A95A0101_9404,Sarah Wilson_5244,CE_4987,sarah.w@example.com_6971,6543211043,Civil_2098,B.Tech_8443
22A95A0101_4218,Sarah Wilson_4550,CE_3361,sarah.w@example.com_8795,6543211058,Civil_2790,B.Tech_3463
21A91A0501_8958,John Doe_1236,CSE_9804,john.doe@example.com_3342,9876543215,Computer Science_5681,B.Tech_2793
22A95A0101_4045,Sarah Wilson_9936,CE_8529,sarah.w@example.com_7631,6543211000,Civil_8189,B.Tech_1059
21A91A0401_7581,Mike Johnson_1807,ME_8237,mike.j@example.com_1334,7654321135,Mechanical_3897,M.Tech_6175
21A91A0501_4545,John Doe_2591,CSE_6146,john.doe@example.com_9123,9876543240,Computer Science_6490,B.Tech_9984
21A91A0501_6978,John Doe_2089,CSE_7852,john.doe@example.com_9924,9876543217,Computer Science_9543,B.Tech_7795
21A91A0502_5408,Jane Smith_3421,ECE_7880,jane.smith@example.com_1583,8765432124,Electronics_3367,B.Tech_4355
21A91A0401_5718,Mike Johnson_4823,ME_3036,mike.j@example.com_8132,7654321155,Mechanical_9850,M.Tech_2372
22A95A0101_7055,Sarah Wilson_7981,CE_8909,sarah.w@example.com_9576,6543211053,Civil_3631,B.Tech_5852
21A91A1205_3068,David Brown_6121,IT_3783,david.b@example.com_2282,9988776751,Information Tech_5419,B.Tech_6318
22A95A0101_4986,Sarah Wilson_8288,CE_3008,sarah.w@example.com_8422,6543211075,Civil_6210,B.Tech_2883
21A91A0401_4353,Mike Johnson_5705,ME_7708,mike.j@example.com_3726,7654321099,Mechanical_4921,M.Tech_6033
21A91A0501_1096,John Doe_9105,CSE_6224,john.doe@example.com_2972,9876543232,Computer Science_2049,B.Tech_9855
22A95A0101_5141,Sarah Wilson_7927,CE_2471,sarah.w@example.com_5070,6543211038,Civil_9583,B.Tech_2999
21A91A1205_3261,David Brown_2415,IT_8213,david.b@example.com_1273,9988776678,Information Tech_2085,B.Tech_2626
21A91A0401_5347,Mike Johnson_2671,ME_7672,mike.j@example.com_1114,7654321163,Mechanical_7448,M.Tech_4649
22A95A0101_1271,Sarah Wilson_8406,CE_6088,sarah.w@example.com_2919,6543211082,Civil_7373,B.Tech_6868
21A91A0401_9278,Mike Johnson_2822,ME_8712,mike.j@example.com_9728,7654321106,Mechanical_8905,M.Tech_2302
21A91A1205_6419,David Brown_6723,IT_3240,david.b@example.com_3349,9988776716,Information Tech_1842,B.Tech_5532
21A91A0502_4059,Jane Smith_8724,ECE_3754,jane.smith@example.com_8796,8765432207,Electronics_1370,B.Tech_6957
21A91A0502_6553,Jane Smith_5110,ECE_1079,jane.smith@example.com_8832,8765432156,Electronics_5731,B.Tech_1665
21A91A1205_2471,David Brown_1651,IT_7045,david.b@example.com_5952,9988776746,Information Tech_5214,B.Tech_1900
21A91A0501_1236,John Doe_1837,CSE_7001,john.doe@example.com_1677,9876543301,Computer Science_2557,B.Tech_8309
21A91A0501_6783,John Doe_5773,CSE_3163,john.doe@example.com_8743,9876543268,Computer Science_4634,B.Tech_1520
21A91A0502_9471,Jane Smith_8682,ECE_6632,jane.smith@example.com_7615,8765432174,Electronics_4735,B.Tech_9196
21A91A0401_1638,Mike Johnson_9767,ME_1478,mike.j@example.com_9184,7654321137,Mechanical_3042,M.Tech_9830
21A91A0502_8225,Jane Smith_5076,ECE_7237,jane.smith@example.com_6534,8765432125,Electronics_1676,B.Tech_4148
22A95A0101_9920,Sarah Wilson_1721,CE_2139,sarah.w@example.com_9637,6543211027,Civil_9550,B.Tech_9685
21A91A0502_6996,Jane Smith_8976,ECE_5839,jane.smith@example.com_8965,8765432160,Electronics_2049,B.Tech_2792
21A91A1205_9336,David Brown_1552,IT_6192,david.b@example.com_2650,9988776747,Information Tech_5403,B.Tech_8335
22A95A0101_4106,Sarah Wilson_4718,CE_2971,sarah.w@example.com_9421,6543211029,Civil_1791,B.Tech_5652
21A91A0502_4439,Jane Smith_1389,ECE_1320,jane.smith@example.com_9758,8765432147,Electronics_9535,B.Tech_6829
21A91A1205_6259,David Brown_9487,IT_1275,david.b@example.com_6608,9988776728,Information Tech_9092,B.Tech_6461
22A95A0101_2368,Sarah Wilson_4278,CE_5055,sarah.w@example.com_2665,6543211028,Civil_5151,B.Tech_7261
21A91A0401_7784,Mike Johnson_9675,ME_7112,mike.j@example.com_6918,7654321107,Mechanical_8219,M.Tech_1982
21A91A0401_1357,Mike Johnson_8132,ME_2847,mike.j@example.com_8978,7654321137,Mechanical_7668,M.Tech_3002
22A95A0101_1926,Sarah Wilson_5156,CE_1421,sarah.w@example.com_7881,6543211074,Civil_1125,B.Tech_8950
21A91A0401_2205,Mike Johnson_1858,ME_8658,mike.j@example.com_5412,7654321099,Mechanical_4516,M.Tech_3064
21A91A0502_7227,Jane Smith_7619,ECE_7226,jane.smith@example.com_6929,8765432137,Electronics_8867,B.Tech_9752
21A91A0502_9459,Jane Smith_6898,ECE_7771,jane.smith@example.com_9246,8765432172,Electronics_6309,B.Tech_3606
22A95A0101_9370,Sarah Wilson_4815,CE_9399,sarah.w@example.com_8092,6543210996,Civil_8192,B.Tech_7586
21A91A0501_8006,John Doe_2223,CSE_7475,john.doe@example.com_9899,9876543263,Computer Science_3708,B.Tech_7570
21A91A1205_2693,David Brown_1904,IT_5421,david.b@example.com_6417,9988776682,Information Tech_4434,B.Tech_5961
21A91A0501_9422,John Doe_6679,CSE_1696,john.doe@example.com_1679,9876543259,Computer Science_4945,B.Tech_6401
21A91A0501_2133,John Doe_6084,CSE_2625,john.doe@example.com_3073,9876543269,Computer Science_9070,B.Tech_6137
21A91A0401_9282,Mike Johnson_5330,ME_6813,mike.j@example.com_6825,7654321171,Mechanical_2531,M.Tech_2943
21A91A1205_3305,David Brown_9572,IT_3709,david.b@example.com_8723,9988776729,Information Tech_5763,B.Tech_8435
21A91A1205_3980,David Brown_3411,IT_7265,david.b@example.com_7626,9988776662,Information Tech_9744,B.Tech_1167
21A91A1205_4447,David Brown_5758,IT_1747,david.b@example.com_7150,9988776717,Information Tech_1116,B.Tech_9889
21A91A0502_8722,Jane Smith_6540,ECE_1066,jane.smith@example.com_4100,8765432208,Electronics_5425,B.Tech_9101
21A91A0501_5524,John Doe_6975,CSE_1216,john.doe@example.com_5461,9876543238,Computer Science_1226,B.Tech_6432
21A91A0502_9041,Jane Smith_1785,ECE_4004,jane.smith@example.com_8089,8765432164,Electronics_5342,B.Tech_4138
21A91A1205_5932,David Brown_9496,IT_8899,david.b@example.com_6485,9988776703,Information Tech_5007,B.Tech_5150
22A95A0101_1097,Sarah Wilson_2382,CE_2744,sarah.w@example.com_1147,6543211066,Civil_3872,B.Tech_7770
21A91A0502_3411,Jane Smith_8219,ECE_5181,jane.smith@example.com_7881,8765432144,Electronics_4166,B.Tech_4164
21A91A0501_3590,John Doe_7040,CSE_8478,john.doe@example.com_4548,9876543307,Computer Science_8846,B.Tech_5054
21A91A0502_5855,Jane Smith_1096,ECE_6921,jane.smith@example.com_7117,8765432134,Electronics_9513,B.Tech_1012
21A91A0401_1243,Mike Johnson_5226,ME_3196,mike.j@example.com_1454,7654321100,Mechanical_3950,M.Tech_9004
21A91A0401_8128,Mike Johnson_5719,ME_8573,mike.j@example.com_6829,7654321195,Mechanical_1650,M.Tech_1889
21A91A1205_9134,David Brown_6324,IT_2244,david.b@example.com_1520,9988776727,Information Tech_9441,B.Tech_8909
21A91A0502_2790,Jane Smith_8538,ECE_7937,jane.smith@example.com_3295,8765432132,Electronics_5868,B.Tech_1150
21A91A0501_1626,John Doe_7162,CSE_9364,john.doe@example.com_4800,9876543273,Computer Science_3616,B.Tech_1827
21A91A0502_9314,Jane Smith_8489,ECE_5553,jane.smith@example.com_5897,8765432147,Electronics_1187,B.Tech_1608
22A95A0101_5523,Sarah Wilson_6852,CE_1872,sarah.w@example.com_7893,6543211064,Civil_6360,B.Tech_7564
21A91A0502_1747,Jane Smith_3841,ECE_5582,jane.smith@example.com_6383,8765432117,Electronics_8149,B.Tech_5306
21A91A0502_2193,Jane Smith_8262,ECE_7537,jane.smith@example.com_8603,8765432140,Electronics_2905,B.Tech_3941
21A91A1205_6499,David Brown_6450,IT_9647,david.b@example.com_5913,9988776697,Information Tech_3140,B.Tech_8782
21A91A0501_7066,John Doe_4705,CSE_9409,john.doe@example.com_5063,9876543297,Computer Science_6326,B.Tech_9382
21A91A0502_6253,Jane Smith_8427,ECE_4533,jane.smith@example.com_8511,8765432206,Electronics_8198,B.Tech_7952
21A91A0502_1356,Jane Smith_9666,ECE_8430,jane.smith@example.com_7572,8765432186,Electronics_1680,B.Tech_9356
21A91A1205_1749,David Brown_4590,IT_8927,david.b@example.com_1021,9988776730,Information Tech_5952,B.Tech_1978
21A91A0401_6383,Mike Johnson_8633,ME_9334,mike.j@example.com_6938,7654321174,Mechanical_5782,M.Tech_4023
21A91A1205_2253,David Brown_6076,IT_5395,david.b@example.com_1595,9988776705,Information Tech_5222,B.Tech_5384
21A91A0501_3132,John Doe_5033,CSE_5783,john.doe@example.com_5075,9876543299,Computer Science_8089,B.Tech_2572
21A91A0401_9852,Mike Johnson_3852,ME_5244,mike.j@example.com_4352,7654321177,Mechanical_8260,M.Tech_8925
21A91A0502_4944,Jane Smith_1077,ECE_7258,jane.smith@example.com_8853,8765432202,Electronics_7164,B.Tech_6047
21A91A1205_5508,David Brown_7538,IT_3491,david.b@example.com_1035,9988776688,Information Tech_1736,B.Tech_9453
21A91A0501_5549,John Doe_1204,CSE_5946,john.doe@example.com_5681,9876543229,Computer Science_2750,B.Tech_4337
21A91A0401_1852,Mike Johnson_7875,ME_1185,mike.j@example.com_1031,7654321176,Mechanical_2187,M.Tech_8288
21A91A0502_8244,Jane Smith_8093,ECE_6162,jane.smith@example.com_3718,8765432136,Electronics_2626,B.Tech_8599
21A91A0502_8221,Jane Smith_9944,ECE_6060,jane.smith@example.com_1963,8765432208,Electronics_8939,B.Tech_9395
21A91A0401_3135,Mike Johnson_5389,ME_9276,mike.j@example.com_7083,7654321192,Mechanical_9931,M.Tech_3366
21A91A1205_1615,David Brown_8343,IT_7803,david.b@example.com_9253,9988776751,Information Tech_2186,B.Tech_9141
21A91A0401_4503,Mike Johnson_2200,ME_2295,mike.j@example.com_9745,7654321169,Mechanical_6592,M.Tech_3469
21A91A0401_4285,Mike Johnson_6532,ME_2431,mike.j@example.com_7733,7654321147,Mechanical_4742,M.Tech_7979
21A91A1205_2808,David Brown_8361,IT_3605,david.b@example.com_1534,9988776688,Information Tech_1026,B.Tech_8502
22A95A0101_5165,Sarah Wilson_2846,CE_7951,sarah.w@example.com_4598,6543211041,Civil_3682,B.Tech_4941
22A95A0101_1488,Sarah Wilson_1951,CE_1680,sarah.w@example.com_6441,6543211080,Civil_3194,B.Tech_4101
22A95A0101_9151,Sarah Wilson_1091,CE_6713,sarah.w@example.com_3513,6543211019,Civil_8575,B.Tech_4971
22A95A0101_1154,Sarah Wilson_6875,CE_1363,sarah.w@example.com_4297,6543211007,Civil_1802,B.Tech_5607
